[2026-03-17 05:17:36.675] [Download] === START === file=The.Godfather.Part.2.1974.1080p.BrRip.x264.BOKUTOX.YIFY.mp4 fragment_size=524288 compression=false
[2026-03-17 05:17:36.676] [Download] All sources from Directory:
[2026-03-17 05:17:36.680] [Download]   13.39.21.10:6000 [load=0]
[2026-03-17 05:17:36.681] [Download] Using 1 source(s):
[2026-03-17 05:17:36.681] [Download]   13.39.21.10:6000 [load=0]
[2026-03-17 05:17:37.377] [Download] File size: 2901310881 bytes (2833311 KB)
[2026-03-17 05:17:37.388] [Download] Fragments: 5534 x 512KB, sources: 1
[2026-03-17 05:17:39.434] [FRAG] idx=0 offset=0 len=524288 source=13.39.21.10:6000 time_ms=2017 speed_KB/s=253 progress=0%
[2026-03-17 05:17:41.441] [FRAG] idx=1 offset=524288 len=524288 source=13.39.21.10:6000 time_ms=2006 speed_KB/s=255 progress=0%
[2026-03-17 05:17:43.443] [FRAG] idx=2 offset=1048576 len=524288 source=13.39.21.10:6000 time_ms=2002 speed_KB/s=255 progress=0%
[2026-03-17 05:17:45.445] [FRAG] idx=3 offset=1572864 len=524288 source=13.39.21.10:6000 time_ms=2001 speed_KB/s=255 progress=0%
[2026-03-17 05:17:47.445] [FRAG] idx=4 offset=2097152 len=524288 source=13.39.21.10:6000 time_ms=1999 speed_KB/s=256 progress=0%
[2026-03-17 05:17:49.447] [FRAG] idx=5 offset=2621440 len=524288 source=13.39.21.10:6000 time_ms=2001 speed_KB/s=255 progress=0%
[2026-03-17 05:17:51.220] [FRAG] idx=6 offset=3145728 len=524288 source=13.39.21.10:6000 time_ms=1771 speed_KB/s=289 progress=0%
[2026-03-17 05:17:53.139] [FRAG] idx=7 offset=3670016 len=524288 source=13.39.21.10:6000 time_ms=1919 speed_KB/s=266 progress=0%
[2026-03-17 05:17:55.050] [FRAG] idx=8 offset=4194304 len=524288 source=13.39.21.10:6000 time_ms=1910 speed_KB/s=268 progress=0%
[2026-03-17 05:17:56.822] [FRAG] idx=9 offset=4718592 len=524288 source=13.39.21.10:6000 time_ms=1771 speed_KB/s=289 progress=0%
[2026-03-17 05:17:58.742] [FRAG] idx=10 offset=5242880 len=524288 source=13.39.21.10:6000 time_ms=1919 speed_KB/s=266 progress=0%
[2026-03-17 05:18:00.746] [FRAG] idx=11 offset=5767168 len=524288 source=13.39.21.10:6000 time_ms=2004 speed_KB/s=255 progress=0%
[2026-03-17 05:18:02.747] [FRAG] idx=12 offset=6291456 len=524288 source=13.39.21.10:6000 time_ms=2001 speed_KB/s=255 progress=0%
[2026-03-17 05:18:04.765] [FRAG] idx=13 offset=6815744 len=524288 source=13.39.21.10:6000 time_ms=2016 speed_KB/s=253 progress=0%
[2026-03-17 05:18:06.760] [FRAG] idx=14 offset=7340032 len=524288 source=13.39.21.10:6000 time_ms=1994 speed_KB/s=256 progress=0%
[2026-03-17 05:18:08.544] [FRAG] idx=15 offset=7864320 len=524288 source=13.39.21.10:6000 time_ms=1783 speed_KB/s=287 progress=0%
[2026-03-17 05:18:10.538] [FRAG] idx=16 offset=8388608 len=524288 source=13.39.21.10:6000 time_ms=1994 speed_KB/s=256 progress=0%
[2026-03-17 05:18:12.532] [FRAG] idx=17 offset=8912896 len=524288 source=13.39.21.10:6000 time_ms=1992 speed_KB/s=257 progress=0%
[2026-03-17 05:18:14.540] [FRAG] idx=18 offset=9437184 len=524288 source=13.39.21.10:6000 time_ms=2007 speed_KB/s=255 progress=0%
[2026-03-17 05:18:16.540] [FRAG] idx=19 offset=9961472 len=524288 source=13.39.21.10:6000 time_ms=1999 speed_KB/s=256 progress=0%
[2026-03-17 05:18:18.545] [FRAG] idx=20 offset=10485760 len=524288 source=13.39.21.10:6000 time_ms=2004 speed_KB/s=255 progress=0%
[2026-03-17 05:18:20.540] [FRAG] idx=21 offset=11010048 len=524288 source=13.39.21.10:6000 time_ms=1995 speed_KB/s=256 progress=0%
[2026-03-17 05:18:22.545] [FRAG] idx=22 offset=11534336 len=524288 source=13.39.21.10:6000 time_ms=2005 speed_KB/s=255 progress=0%
[2026-03-17 05:18:24.540] [FRAG] idx=23 offset=12058624 len=524288 source=13.39.21.10:6000 time_ms=1993 speed_KB/s=256 progress=0%
[2026-03-17 05:18:26.558] [FRAG] idx=24 offset=12582912 len=524288 source=13.39.21.10:6000 time_ms=2017 speed_KB/s=253 progress=0%
[2026-03-17 05:18:28.474] [FRAG] idx=25 offset=13107200 len=524288 source=13.39.21.10:6000 time_ms=1915 speed_KB/s=267 progress=0%
[2026-03-17 05:18:30.484] [FRAG] idx=26 offset=13631488 len=524288 source=13.39.21.10:6000 time_ms=2010 speed_KB/s=254 progress=0%
[2026-03-17 05:18:32.492] [FRAG] idx=27 offset=14155776 len=524288 source=13.39.21.10:6000 time_ms=2007 speed_KB/s=255 progress=0%
[2026-03-17 05:18:34.507] [FRAG] idx=28 offset=14680064 len=524288 source=13.39.21.10:6000 time_ms=2014 speed_KB/s=254 progress=0%
[2026-03-17 05:18:36.516] [FRAG] idx=29 offset=15204352 len=524288 source=13.39.21.10:6000 time_ms=2008 speed_KB/s=254 progress=0%
[2026-03-17 05:18:38.502] [FRAG] idx=30 offset=15728640 len=524288 source=13.39.21.10:6000 time_ms=1986 speed_KB/s=257 progress=0%
[2026-03-17 05:18:40.418] [FRAG] idx=31 offset=16252928 len=524288 source=13.39.21.10:6000 time_ms=1914 speed_KB/s=267 progress=0%
[2026-03-17 05:18:42.416] [FRAG] idx=32 offset=16777216 len=524288 source=13.39.21.10:6000 time_ms=1997 speed_KB/s=256 progress=0%
[2026-03-17 05:18:44.334] [FRAG] idx=33 offset=17301504 len=524288 source=13.39.21.10:6000 time_ms=1918 speed_KB/s=266 progress=0%
[2026-03-17 05:18:46.336] [FRAG] idx=34 offset=17825792 len=524288 source=13.39.21.10:6000 time_ms=2002 speed_KB/s=255 progress=0%
[2026-03-17 05:18:48.109] [FRAG] idx=35 offset=18350080 len=524288 source=13.39.21.10:6000 time_ms=1771 speed_KB/s=289 progress=0%
[2026-03-17 05:18:50.116] [FRAG] idx=36 offset=18874368 len=524288 source=13.39.21.10:6000 time_ms=2007 speed_KB/s=255 progress=0%
[2026-03-17 05:18:52.122] [FRAG] idx=37 offset=19398656 len=524288 source=13.39.21.10:6000 time_ms=2006 speed_KB/s=255 progress=0%
[2026-03-17 05:18:54.118] [FRAG] idx=38 offset=19922944 len=524288 source=13.39.21.10:6000 time_ms=1994 speed_KB/s=256 progress=0%
[2026-03-17 05:18:56.114] [FRAG] idx=39 offset=20447232 len=524288 source=13.39.21.10:6000 time_ms=1995 speed_KB/s=256 progress=0%
[2026-03-17 05:18:58.107] [FRAG] idx=40 offset=20971520 len=524288 source=13.39.21.10:6000 time_ms=1992 speed_KB/s=257 progress=0%
[2026-03-17 05:19:00.100] [FRAG] idx=41 offset=21495808 len=524288 source=13.39.21.10:6000 time_ms=1993 speed_KB/s=256 progress=0%
[2026-03-17 05:19:02.100] [FRAG] idx=42 offset=22020096 len=524288 source=13.39.21.10:6000 time_ms=1998 speed_KB/s=256 progress=0%
[2026-03-17 05:19:04.093] [FRAG] idx=43 offset=22544384 len=524288 source=13.39.21.10:6000 time_ms=1992 speed_KB/s=257 progress=0%
[2026-03-17 05:19:06.090] [FRAG] idx=44 offset=23068672 len=524288 source=13.39.21.10:6000 time_ms=1997 speed_KB/s=256 progress=0%
[2026-03-17 05:19:08.092] [FRAG] idx=45 offset=23592960 len=524288 source=13.39.21.10:6000 time_ms=2001 speed_KB/s=255 progress=0%
[2026-03-17 05:19:10.107] [FRAG] idx=46 offset=24117248 len=524288 source=13.39.21.10:6000 time_ms=2013 speed_KB/s=254 progress=0%
[2026-03-17 05:19:12.101] [FRAG] idx=47 offset=24641536 len=524288 source=13.39.21.10:6000 time_ms=1993 speed_KB/s=256 progress=0%
